Date;Item;SKU_Category;Concatenate_ID;Sales_Percent;Sales_Amount;Cost;Gross_Profit;Commission_Cost;Retail_Net_Earnings;Profit_Ratio;Net_Earnings;Cost_to_Profit_Ratio;Cost_Ratio;Profit_Contribution_Ratio;Company;Category;Agent
01/08/2022;Phone Case;TXTA;SA-0202280001-TXTA;0.0004;25;5;20;8;12;0.8;12;0.25;0.2;0.0005;Castify;Tech Accessories;STKEVON
01/08/2022;Protective Glass;TXTA;SA-202280002-TXTA;0.0003;20;2;18;7;11;0.9;11;0.1111;0.1;0.0005;Castify;Tech Accessories;STKEVON
01/08/2022;Type C Cable;TXTA;SA-202280003-TXTA;0.0002;15;6;9;4;5;0.6;5;0.6667;0.4;0.0002;Apple;Tech Accessories;STKEVON
01/08/2022;Data Transfer Service;SFSV;SA-202280004-SFSV;0.0003;20;0;20;8;12;1;12;0;0;0.0005;EY Cell;Software Service;STKEVON
01/08/2022;iphone X screen repair;DVRP;SA-202280005-DVRP;0.0013;80;42;38;15;23;0.475;23;1.1053;0.525;0.001;InCell ;Device Repair;STKEVON
01/08/2022;Samsung Screen Repair;DVRP;SA-202280006-DVRP;0.0024;150;90;60;24;36;0.4;36;1.5;0.6;0.0016;InCell ;Device Repair;STKEVON
01/08/2022;Ultra Mobile 1 Year Phone Bill;WIRLSVS;SA-202280007-WIRLSVS;0.0053;331;254;78;31;47;0.2341;47;3.271;0.7659;0.0021;UltraMobile;Wireless Service;STKEVON
01/08/2022;Lyca Phone Bill ;WIRLSVS;SA-202280008-WIRLSVS;0.0017;105;97;8;3;5;0.0808;5;11.3821;0.9192;0.0002;LycaMobile;Wireless Service;STKEVON
02/08/2022;Black Leather Phone Case 3 Wallet;TXTA;SA-202280009-TXTA;0.0004;27;6;21;8;13;0.7778;13;0.2857;0.2222;0.0006;Castify;Tech Accessories;STKEVON
02/08/2022;Ultra Mobile 1 Month;WIRLSVS;SA-202280010-WIRLSVS;0.0005;33;29;4;2;3;0.1327;3;6.5342;0.8673;0.0001;UltraMobile;Wireless Service;STKEVON
02/08/2022;iPad Screen Repair;DVRP;SA-202280011-DVRP;0.0011;70;20;50;20;30;0.7143;30;0.4;0.2857;0.0013;InCell ;Device Repair;STKWAN
02/08/2022;Earphone;TXTA;SA-202280012-TXTA;0.0004;25;20;5;2;3;0.2;3;4;0.8;0.0001;Apple;Tech Accessories;STKEVON
02/08/2022;Apple Original Cable;TXTA;SA-202280013-TXTA;0.0004;25;10;15;6;9;0.6;9;0.6667;0.4;0.0004;Apple;Tech Accessories;STKEVON
02/08/2022;Apple Charger Type C;TXTA;SA-202280014-TXTA;0.0004;25;10;15;6;9;0.6;9;0.6667;0.4;0.0004;Apple;Tech Accessories;STKEVON
02/08/2022;iphone phone case;TXTA;SA-202280015-TXTA;0.0002;10;3;7;3;4;0.7;4;0.4286;0.3;0.0002;Castify;Tech Accessories;STKEVON
02/08/2022;iphone 13 Pro Max;NWPHN;SA-202280016-NWPHN;0.0175;1100;999;101;40;61;0.0918;61;9.8911;0.9082;0.0027;Apple;Brand New Phone;STKEVON
02/08/2022;iPhone 13 pro Case;TXTA;SA-202280017-TXTA;0.0002;15;3;12;5;7;0.8;7;0.25;0.2;0.0003;Castify;Tech Accessories;STKEVON
02/08/2022;iPhone 6 Plus;RFBPHN;SA-202280018-RFBPHN;0.0034;210;120;90;36;54;0.4286;54;1.3333;0.5714;0.0024;Apple;Refurbished Phone or Device;STKEVON
02/08/2022;Lyca  phone bill payments;WIRLSVS;SA-202280019-WIRLSVS;0.0025;156;123;33;13;20;0.2115;20;3.7273;0.7885;0.0009;LycaMobile;Wireless Service;STKEVON
02/08/2022;Lyca Data Package of 10 GB;WIRLSVS;SA-202280020-WIRLSVS;0.0004;24;20;4;2;3;0.1833;3;4.4545;0.8167;0.0001;LycaMobile;Wireless Service;STKEVON
02/08/2022;Lyca phone bill Payment 1 month 6 GB;WIRLSVS;SA-202280021-WIRLSVS;0.0005;31;28;3;1;2;0.109;2;8.1716;0.891;0.0001;LycaMobile;Wireless Service;STKEVON
02/08/2022;Lyca Phone Bill;WIRLSVS;SA-202280022-WIRLSVS;0.0017;104;90;14;6;8;0.1333;8;6.5036;0.8667;0.0004;LycaMobile;Wireless Service;STKEVON
02/08/2022;Phone Galaxy;NWPHN;SA-202280023-NWPHN;0.0112;700;480;220;88;132;0.3143;132;2.1818;0.6857;0.0058;Samsung;Brand New Phone;STKEVON
03/08/2022;Ultra Phone Bill Payment;WIRLSVS;SA-202280024-WIRLSVS;0.0005;33;29;4;2;2;0.1212;2;7.25;0.8788;0.0001;UltraMobile;Wireless Service;STKEVON
03/08/2022;Simple Mobile Phone Bill Payment;WIRLSVS;SA-202280025-WIRLSVS;0.0024;150;109;41;17;25;0.275;25;2.6364;0.725;0.0011;SimpleMobile;Wireless Service;STKEVON
03/08/2022;TFW Phone Bill;WIRLSVS;SA-202280026-WIRLSVS;0.0004;27;23;4;2;2;0.1389;2;6.2;0.8611;0.0001;SimpleMobile;Wireless Service;STKEVON
03/08/2022;Lyca Phone Bill;WIRLSVS;SA-202280027-WIRLSVS;0.0004;25;23;2;1;1;0.0952;1;9.5042;0.9048;0.0001;LycaMobile;Wireless Service;STKEVON
03/08/2022;Lyca Phone Bill;WIRLSVS;SA-202280028-WIRLSVS;0.0007;42;38;4;2;3;0.1067;3;8.375;0.8933;0.0001;LycaMobile;Wireless Service;STKEVON
03/08/2022;Phone Bill;WIRLSVS;SA-202280029-WIRLSVS;0.0004;25;21;4;1;2;0.142;2;6.0423;0.858;0.0001;SimpleMobile;Wireless Service;STKEVON
